Time Scale,FM01TS,FM02TS,FM03TS,FM04TS,FM05TS,PC01TS,PC02TS,PC03TS,PT01TS,PT02TS,PT03TS,PT04TS,PT05TS,PT06TS,ST01TS,TC01TS,TC02TS,TC03TS,TT01TS
08-29-2009 : 12:24:41.905 PM,16.540627,19.098261,54.427696,348.910889,24.585466,13.047921,14.177246,14.961693,5051.853516,5490.927734,4150.414062,890.798035,3194.384766,1254.817017,197.504822,75.601242,76.519890,77.155472,0.000000
08-29-2009 : 12:24:41.909 PM,16.868643,19.112034,53.836250,349.680023,24.878424,13.096991,14.250484,15.069230,5107.161133,5529.354492,4070.318604,2743.115723,3342.169678,1978.545776,199.217041,75.458908,76.387466,76.884964,0.000000
08-29-2009 : 12:24:41.913 PM,17.092142,19.096281,54.855560,350.297241,24.739803,13.202598,14.304696,15.246413,5100.479980,5577.730469,4159.274902,1245.324097,550.950073,1419.312744,198.353943,75.508202,76.319618,76.975677,0.000000
08-29-2009 : 12:24:41.917 PM,16.657404,19.116812,54.993984,350.950195,24.620958,13.153679,14.257258,15.036258,5118.944824,5522.847168,4143.384277,2825.999512,5699.795410,737.995239,198.833191,75.616837,76.561005,77.034157,0.000000
08-29-2009 : 12:24:41.921 PM,17.101875,19.460419,54.292286,356.088348,24.664005,13.170032,14.123966,15.153429,5173.020508,5585.720215,4079.149414,1447.910156,1133.010620,2076.289062,195.646454,75.312057,76.414345,76.949280,0.000000
08-29-2009 : 12:24:41.925 PM,17.081104,19.389248,55.341167,351.680054,25.053360,13.279024,14.256878,15.213937,5169.462891,5512.947266,4286.864258,3093.335937,1000.546570,1751.574341,197.057602,75.427589,76.419945,76.956200,0.000000
08-29-2009 : 12:24:41.929 PM,17.136660,19.098076,55.362518,350.039307,24.880016,13.527880,14.300087,15.207593,5092.145996,5533.091309,4305.776855,4828.096191,466.761963,1911.887451,200.874893,75.478996,76.514473,77.140900,0.000000
08-29-2009 : 12:24:41.933 PM,17.268488,19.461210,54.960777,350.689270,24.923986,13.214233,14.193930,15.052305,5164.132812,5609.508789,4245.343750,1102.815063,749.193542,1920.916626,201.990967,75.599678,76.561104,76.954788,0.000000
08-29-2009 : 12:24:41.937 PM,16.928402,19.812643,55.912453,356.600494,25.309734,13.233743,14.174101,15.407528,5143.565918,5545.731445,4258.216797,56.040550,3398.230225,2242.412598,197.296707,75.569176,76.561615,77.120590,0.000000
08-29-2009 : 12:24:41.941 PM,17.053759,19.447544,55.528118,356.791595,24.860865,13.323600,14.339787,15.332548,5193.435059,5559.996582,4207.989258,2771.962402,2424.232422,3630.704834,200.552841,75.372810,76.451317,76.913261,0.000000
08-29-2009 : 12:24:41.945 PM,17.198595,19.694309,55.149982,354.778381,24.980394,13.406322,14.174262,15.393401,5208.912598,5614.421875,4251.747070,1347.698730,2652.331543,2315.386719,200.334595,75.563911,76.518021,77.107651,0.000000
08-29-2009 : 12:24:41.949 PM,17.258146,19.742512,54.726910,356.449158,25.302814,13.384328,14.377128,15.669847,5189.653809,5606.525879,4452.442871,2927.987061,858.271912,1061.693237,204.516006,75.441177,76.450233,77.061523,0.000000
